Name,Year
Divyanshu Prashar,3rd
Divyanshu Singha Roy,3rd
Divyanshu Somkuwar,4th
Farhan Barnwal,1st
Farhan Datta,2nd
Farhan Kolay,2nd
Farhan Pathak,3rd
Farhan Ray,4th
Farhan Sarkar,2nd
Farhan Sebai,4th
Gyan Prakash Karmakar,2nd
Gyan Prakash Pan,4th
Gyan Prakash Rana,4th
Gyan Prakash Sebai,1st
Indrayudh Acharya,3rd
Indrayudh Datta,2nd
Indrayudh Koley,1st
Indrayudh Modak,2nd
Indrayudh Sagar,3rd
Ishika Biswas,2nd
Ishika Debnath,3rd
Ishika Mondal,3rd
Ishika Prashar,1st
Ishika Sett,2nd
Ishika Shaw,1st
Karan Sett,3rd
Karnika Hiwrale,1st
Karnika Mitra,4th
Karnika Pan,3rd
Kazi Md Basuri,2nd
Kazi Md Goyal,2nd
Kazi Md Kundu,4th
Kazi Md Modak,4th
Kazi Md Paul,2nd
Khushi Ghosh,4th
Khushi Kumar,3rd
Khushi Singh,1st
Kiran Dey,2nd
Kiran Washim,4th
Krishnendu Imam,4th
Kritika Sebai,4th
Laukik De,2nd
Laukik Koley,1st
Mintu Begam,3rd
Mintu Pandey,3rd
Mohammad Pandey,2nd
Mohammad Rana,2nd
Mohammed Babu,2nd
Mohammed Giri,1st
Mohammed Mishra,4th
Monomoy Kumar Gupta,3rd
Monomoy Mitra,1st
Moupiya Adhikari,3rd
Moupiya Ayesha,4th
Moupiya Bhakta,2nd
Moupiya Pailan,4th
Moupiya Shaw,3rd
Munmun Choshmitha,1st
Munmun Sebai,3rd
Nandini Agarwal,4th
Nandini Ayesha,4th
Nandini Karmakar,1st
Nandini Mandal,4th
Nandini Mishra,1st
Nandini Naser,2nd
Nandini Pailan,1st
Nandini Shukla,3rd
Navya Choubey,4th
Navya Verma,1st
Nayab Biswas,3rd
Nayab Modak,3rd
Nayab Saha,2nd
Nazreen Das,3rd
Nazreen Jha,2nd
Nazreen Sebai,2nd
Omkar Babu,3rd
Omkar Das,2nd
Omkar Somkuwar,4th
Padavala Biswas,1st
Padavala Washim,4th
Paramita Barnwal,4th
Paramita Choshmitha,2nd
Paramita Jha,1st
Paramita Mazumdar,1st
Paramita Mukherjee,1st
Payal Dey,3rd
Payel Begam,4th
Payel Chadokar,2nd
Payel Karmakar,2nd
Payel Mandal,3rd
Pradipan Datta,1st
Pradipan Jha,3rd
Pradipan Mishra,2nd
Prem Chakrabarti,4th
Prem Ghosh,3rd
Prem Mazumdar,2nd
Prem Pandey,3rd
Prem Samim Faraj,4th
Prerna Agarwal,4th
Prerna Mondal,2nd
Priti Begam,1st
Priti Chadokar,4th
Priyabrata Chakrabarti,3rd
Priyabrata Dutta,4th
Priyabrata Giri,3rd
Priyabrata Jha,2nd
Priyabrata Kundu,1st
Priyabrata Maity,3rd
Priyanka Sarkar,1st
Rachana Ayesha,3rd
Rachana Bhakta,1st
Rachana Pailan,4th
Rachana Thakur,4th
Raghav Barnwal,3rd
Raghav Debnath,2nd
Raghav Gupta,2nd
Raghvendra Bandyopadhyay,2nd
Raghvendra Barnwal,3rd
Raghvendra Dikshit,1st
Raghvendra Malik,2nd
Raghvendra Sadhukhan,2nd
Raj Kumar Pailan,2nd
Raj Kumar Roy,1st
Raj Kumar Yadav,2nd
Rohan Choubey,1st
Rohan Shukla,4th
Rohan Singh,2nd
Rohit Koley,4th
Sagar Verma,1st
Sagnik Bhakta,1st
Sagnik Das,3rd
Sagnik Kumar,1st
Sagnik Pan,4th
Sagnik Raj,3rd
Sagnik Ray,3rd
Sagnik Shaw,2nd
Sanchit Ghosh,3rd
Sanchit Kumar,1st
Sanchit Rana,4th
Sanchit Sharma,4th
Sanchit Verma,1st
Sanjana Acharya,1st
Sanjana Rana,4th
Saptak Washim,2nd
Saptaparna Ayesha,2nd
Saptaparna Banyal,1st
Saptaparna Bhakta,3rd
Saptaparna Dutta,3rd
Sashi Kumar Barnwal,2nd
Sashi Kumar Dhara,1st
Sashi Kumar Goyal,3rd
Sashi Kumar Sah,2nd
Sashi Kumar Verma,1st
Saswat Adhikari,2nd
Saswat Imam,3rd
Saswat Modak,1st
Saswat Sett,3rd
Satodeep Mandal,1st
Satodeep Thakur,3rd
Satodeep Washim,3rd
Sayantani Giri,3rd
Sayantani Imam,3rd
Sayantani Kolay,3rd
Sayantani Sebai,3rd
Sayanti Chakraborty,2nd
Sayanti Imam,1st
Sayanti Karmakar,4th
Sayanti Maity,4th
Sayanti Sarkar,4th
Senthil Karmakar,1st
Senthil Kundu,1st
Shahbaz Mazumdar,1st
Shahbaz Raj,2nd
Shahbaz Sarkar,2nd
Shalini Maity,4th
Shalini Ranjan,2nd
Shilpi Malik,2nd
Shilpi Shukla,1st
Shinjini Acharya,1st
Shinjini Bhattacharya,3rd
Shinjini Choubey,4th
Shinjini Das,1st
Shinjini Dikshit,4th
Shivam Acharya,4th
Shivam Agarwal,3rd
Shivam Chakraborty,4th
Shivam Choubey,3rd
Shivam Naser,3rd
Shivam Pal,2nd
Shreya Goyal,3rd
Shreya Imam,2nd
Shreya Raj,3rd
Shreya Rana,4th
Shreya Ray,1st
Shrimant Hiwrale,2nd
Shrimant Modak,2nd
Shrimant Nath,1st
Shrimant Shaw,2nd
Shrimant Shukla,2nd
Shuvam Acharya,3rd
Shuvam Bhattacharya,4th
Shuvam Biswas,4th
Shuvam Ghosh,1st
Shuvam Giri,3rd
Shuvam Paul,2nd
Shuvam Sharma,4th
Sneha Bhakta,3rd
Sneha Dey,1st
Somdeepta Debnath,4th
Sonia Barnwal,3rd
Sonia Jha,3rd
Soniya Acharya,2nd
Soniya Jha,3rd
Sougata Imam,1st
Sougata Mazumdar,2nd
Sougata Sah,2nd
Sougata Tiwari,1st
Soumadip Kour,2nd
Soumadip Nath,3rd
Soumadip Shukla,2nd
Soumita Kour,2nd
Soumita Kumar Gupta,4th
Soumita Mondal,2nd
Soumita Sarkar,4th
Soumita Tiwari,2nd
Soumya Acharya,1st
Soumya Begam,2nd
Soumya Dutta,2nd
Soumya Mandal,1st
Soumya Singha Roy,2nd
Soumya Tiwari,2nd
Soumyadeep Acharya,2nd
Soumyadeep Ayesha,3rd
Soumyadeep Modak,3rd
Souvik Ayesha,2nd
Souvik Barnwal,1st
Souvik Jha,2nd
Souvik Mishra,1st
Souvik Ray,1st
Sowdarjya Nain,2nd
Sowdarjya Ranjan,2nd
Sowdarjya Saha,2nd
Sowdarjya Verma,3rd
Srija Sett,4th
Subhajit Dikshit,4th
Subhajit Mondal,3rd
Subhajit Pathak,2nd
Subhajit Rana,4th
Subhajit Singha Roy,1st
Subhajit Tiwari,2nd
Subhankar Pathak,2nd
Sumit Kumar Begam,4th
Sumit Kumar Prashar,3rd
Sumit Kumar Rana,2nd
Supradip Goyal,1st
Supradip Mukherjee,3rd
Sushmita Bandyopadhyay,4th
Sushmita Bhattacharya,4th
Sushmita Kolay,1st
Sushmita Saha,3rd
Suvodeep Banyal,1st
Suvodeep Kour,3rd
Suvodeep Roy,3rd
Suvodeep Sarkar,3rd
Syeda Ray,4th
Tamajit Dhara,3rd
Tamajit Imam,2nd
Tamajit Kour,3rd
Tamajit Kumar,1st
Tanishk Choshmitha,1st
Tanishk Pal,2nd
Tanishk Prashar,3rd
Tirthankar Agarwal,2nd
Tirthankar Dutta,2nd
Tirthankar Imam,1st
Tirthankar Karmakar,1st
Tirthankar Singh,2nd
Titas Jha,2nd
Utsav Biswas,2nd
Utsav Jha,1st
Uttiyo Singha Roy,1st
Uttiyo Somkuwar,3rd
Uttiyo Verma,1st
Viraj Tiwari,3rd
Vishal Mukherjee,4th
Vishal Sebai,1st
Vivek Bhakta,1st
Vivek Dhara,3rd
Vivek Hiwrale,3rd
Vivek Nath,3rd
Vivek Shaw,1st
